cl,tissue,gene
CL:0000065,brain,gramd2a
CL:0000065,brain,mgc4859
CL:0000065,brain,nts
CL:0000065,brain,obi1as1
CL:0000065,brain,or2b4p
CL:0000065,brain,rp11624a42
CL:0000065,brain,sgms2
CL:0000065,brain,tnc
CL:0000065,brain,trdn
CL:0000065,brain,ttr
CL:4023073,brain,abca4
CL:4023073,brain,c1qtnf5
CL:4023073,brain,crybg1
CL:4023073,brain,folr1
CL:4023073,brain,gpnmb
CL:4023073,brain,hpd
CL:4023073,brain,hs3st3a1
CL:4023073,brain,otx2as1
CL:4023073,brain,plp1
CL:4023073,brain,pou2af1
CL:4023073,brain,rp11690j151
CL:4023073,brain,rp11729m201
CL:4023073,brain,serpinf1
CL:4023073,brain,st18
CL:4023073,brain,trpv4
CL:4023073,brain,ttr
CL:4023012,brain,adra1a
CL:4023012,brain,ae00066137
CL:4023012,brain,cd200r1l
CL:4023012,brain,cd36
CL:4023012,brain,col9a1
CL:4023012,brain,ctb57h201
CL:4023012,brain,ctc340a152
CL:4023012,brain,ctc535m152
CL:4023012,brain,fer1l6as2
CL:4023012,brain,fshr
CL:4023012,brain,hmga2
CL:4023012,brain,ifngas1
CL:4023012,brain,linc02008
CL:4023012,brain,myocd
CL:4023012,brain,npsr1
CL:4023012,brain,npsr1as1
CL:4023012,brain,nxph2
CL:4023012,brain,plpp3
CL:4023012,brain,ptprt
CL:4023012,brain,robo3
CL:4023012,brain,ror1
CL:4023012,brain,rp11286o11
CL:4023012,brain,rp1134c152
CL:4023012,brain,rp11354i132
CL:4023012,brain,rp11421n83
CL:4023012,brain,rp11511b72
CL:4023012,brain,rp1166g151
CL:4023012,brain,sgo1as1
CL:4023012,brain,slc9c1
CL:4023012,brain,tacr3
CL:4023012,brain,trim22
CL:4023009,brain,csn1s1
CL:4023009,brain,ctb57h201
CL:4023009,brain,linc00326
CL:4023009,brain,linc00943
CL:4023009,brain,linc02424
CL:4023009,brain,lrp2
CL:4023009,brain,rp11370k21
CL:4023009,brain,rp4678d151
CL:4023008,brain,ac0051501
CL:4023008,brain,ac0112882
CL:4023008,brain,ac0679591
CL:4023008,brain,adamts16
CL:4023008,brain,adamts17
CL:4023008,brain,adamts3
CL:4023008,brain,aj0069982
CL:4023008,brain,alkal2
CL:4023008,brain,ankrd20a11p
CL:4023008,brain,atp10a
CL:4023008,brain,carm1p1
CL:4023008,brain,cbln2
CL:4023008,brain,ccn4
CL:4023008,brain,cmtm8
CL:4023008,brain,col22a1
CL:4023008,brain,col5a2
CL:4023008,brain,ctb57h201
CL:4023008,brain,ctc535m152
CL:4023008,brain,ctd2050e211
CL:4023008,brain,ctd2050e212
CL:4023008,brain,ctd2058b242
CL:4023008,brain,ctd2195h91
CL:4023008,brain,cyp1b1as1
CL:4023008,brain,fbxl21p
CL:4023008,brain,glp2r
CL:4023008,brain,hpse2
CL:4023008,brain,lama2
CL:4023008,brain,lamp5
CL:4023008,brain,linc00326
CL:4023008,brain,linc00343
CL:4023008,brain,linc00507
CL:4023008,brain,linc00508
CL:4023008,brain,linc01331
CL:4023008,brain,linc01378
CL:4023008,brain,linc01500
CL:4023008,brain,linc01821
CL:4023008,brain,linc02055
CL:4023008,brain,linc02196
CL:4023008,brain,linc02237
CL:4023008,brain,linc02263
CL:4023008,brain,linc02296
CL:4023008,brain,linc02306
CL:4023008,brain,mcub
CL:4023008,brain,npnt
CL:4023008,brain,pdgfd
CL:4023008,brain,pla2g4a
CL:4023008,brain,postn
CL:4023008,brain,pou6f2
CL:4023008,brain,rorb
CL:4023008,brain,rp11114g221
CL:4023008,brain,rp11120l141
CL:4023008,brain,rp11191l94
CL:4023008,brain,rp11197k61
CL:4023008,brain,rp11320l21
CL:4023008,brain,rp11335e83
CL:4023008,brain,rp11370k21
CL:4023008,brain,rp11380p131
CL:4023008,brain,rp11387p121
CL:4023008,brain,rp11404h11
CL:4023008,brain,rp11484i69
CL:4023008,brain,rp11511b72
CL:4023008,brain,rp11537p241
CL:4023008,brain,rp11632b212
CL:4023008,brain,rp1179e32
CL:4023008,brain,rp1181f81
CL:4023008,brain,rp4809f181
CL:4023008,brain,sema3c
CL:4023008,brain,sntg2
CL:4023008,brain,stk32b
CL:4023008,brain,tespa1
CL:4023008,brain,themis
CL:4023008,brain,trpc3
CL:4023008,brain,trpc6
CL:4023008,brain,ttc6
CL:4023008,brain,vipr2
CL:0000540,spinal cord,adarb2
CL:0000540,spinal cord,asah2
CL:0000540,spinal cord,calcb
CL:0000540,spinal cord,capn8
CL:0000540,spinal cord,cartpt
CL:0000540,spinal cord,cbln1
CL:0000540,spinal cord,cbln4
CL:0000540,spinal cord,cck
CL:0000540,spinal cord,cdh23
CL:0000540,spinal cord,cdh7
CL:0000540,spinal cord,cdh9
CL:0000540,spinal cord,cdhr3
CL:0000540,spinal cord,col6a2
CL:0000540,spinal cord,foxp2
CL:0000540,spinal cord,gabrb2
CL:0000540,spinal cord,gad2
CL:0000540,spinal cord,gas1rr
CL:0000540,spinal cord,gata3
CL:0000540,spinal cord,hmcn1
CL:0000540,spinal cord,igf1
CL:0000540,spinal cord,iqgap2
CL:0000540,spinal cord,isl1
CL:0000540,spinal cord,ism1
CL:0000540,spinal cord,lef1
CL:0000540,spinal cord,linc01197
CL:0000540,spinal cord,lmo3
CL:0000540,spinal cord,lmx1b
CL:0000540,spinal cord,maf
CL:0000540,spinal cord,mafa
CL:0000540,spinal cord,myo10
CL:0000540,spinal cord,nfatc1
CL:0000540,spinal cord,nfix
CL:0000540,spinal cord,nmu
CL:0000540,spinal cord,nmur2
CL:0000540,spinal cord,npy
CL:0000540,spinal cord,nr2f1
CL:0000540,spinal cord,nr2f2
CL:0000540,spinal cord,nr4a2
CL:0000540,spinal cord,nts
CL:0000540,spinal cord,onecut2
CL:0000540,spinal cord,p2ry1
CL:0000540,spinal cord,pde11a
CL:0000540,spinal cord,pdyn
CL:0000540,spinal cord,penk
CL:0000540,spinal cord,pou6f2
CL:0000540,spinal cord,prdm8
CL:0000540,spinal cord,prox1
CL:0000540,spinal cord,reln
CL:0000540,spinal cord,rnf220
CL:0000540,spinal cord,rorb
CL:0000540,spinal cord,samd3
CL:0000540,spinal cord,satb2
CL:0000540,spinal cord,sox5
CL:0000540,spinal cord,stk32b
CL:0000540,spinal cord,sulf1
CL:0000540,spinal cord,tac1
CL:0000540,spinal cord,tac3
CL:0000540,spinal cord,tfap2b
CL:0000540,spinal cord,zfhx3
CL:0000402,brain,adamts9as2
CL:0000402,brain,adgrg6
CL:0000402,brain,arhgap6
CL:0000402,brain,c1ql1
CL:0000402,brain,ca2
CL:0000402,brain,chst9
CL:0000402,brain,cmtm8
CL:0000402,brain,col15a1
CL:0000402,brain,crh
CL:0000402,brain,ctc806a221
CL:0000402,brain,cxcl14
CL:0000402,brain,ddr2
CL:0000402,brain,eya4
CL:0000402,brain,fbn2
CL:0000402,brain,frem2
CL:0000402,brain,grin2c
CL:0000402,brain,ifi44
CL:0000402,brain,ism1
CL:0000402,brain,lamp5
CL:0000402,brain,lrp2
CL:0000402,brain,met
CL:0000402,brain,nfiaas2
CL:0000402,brain,nos1
CL:0000402,brain,pdgfd
CL:0000402,brain,prex2
CL:0000402,brain,pthlh
CL:0000402,brain,rp11238k62
CL:0000402,brain,rp11563d101
CL:0000402,brain,sfrp1
CL:0000402,brain,tac1
CL:0000402,brain,tacr1
CL:0000402,brain,unc5b
CL:4023064,brain,abi3bp
CL:4023064,brain,ac1336801
CL:4023064,brain,adam33
CL:4023064,brain,adamts20
CL:4023064,brain,aj0069953
CL:4023064,brain,ca2
CL:4023064,brain,ccn2
CL:4023064,brain,chrm2
CL:4023064,brain,chrna7
CL:4023064,brain,cmtm8
CL:4023064,brain,crh
CL:4023064,brain,ctc367f41
CL:4023064,brain,ctd2008l172
CL:4023064,brain,cxcl14
CL:4023064,brain,ddr2
CL:4023064,brain,dock8
CL:4023064,brain,ednra
CL:4023064,brain,eya4
CL:4023064,brain,flt1
CL:4023064,brain,frem2
CL:4023064,brain,hs3st3a1
CL:4023064,brain,htr3a
CL:4023064,brain,iqgap2
CL:4023064,brain,lama3
CL:4023064,brain,lypd6
CL:4023064,brain,myh11
CL:4023064,brain,ndnf
CL:4023064,brain,nmbr
CL:4023064,brain,npr3
CL:4023064,brain,pcdh18
CL:4023064,brain,penk
CL:4023064,brain,ppp1r1c
CL:4023064,brain,ror2
CL:4023064,brain,rp135c212
CL:4023064,brain,rp11197h31
CL:4023064,brain,rxrg
CL:4023064,brain,scgn
CL:4023064,brain,sema3c
CL:4023064,brain,sgo1as1
CL:4023064,brain,svep1
CL:4023064,brain,syt10
CL:4023064,brain,tac3
CL:4023064,brain,vip
CL:4023064,brain,wif1
CL:0000669,placenta,acta2
CL:0000669,placenta,cspg4
CL:0000669,placenta,des
CL:0000669,placenta,pdgfrb
CL:0000746,heart,fhl2
CL:0000746,heart,myh7
CL:0000746,heart,myl2
CL:0000746,heart,myl4
CL:0000746,heart,myl7
CL:0000746,heart,nppa
CL:0000746,heart,ttn
CL:0000235,heart,c1qa
CL:0000235,heart,cd14
CL:0000235,heart,cd68
CL:0000235,heart,folr2
CL:0000235,lymph node,cd14
CL:0000235,lymph node,cd4
CL:0000235,lymph node,hladra
CL:0000235,lymph node,itgax
CL:0002573,heart,nrxn1
CL:0002573,heart,nrxn3
CL:0002573,heart,plp1
CL:0002573,heart,sox10
CL:0000653,kidney,clic5
CL:0000653,kidney,nphs1
CL:0000653,kidney,nphs2
CL:0000653,kidney,ntng1
CL:0000653,kidney,podxl
CL:0000653,kidney,ptprq
CL:1001285,kidney,adamts6
CL:1001285,kidney,mctp1
CL:1001285,kidney,palmd
CL:1001285,kidney,serpine2
CL:1001285,kidney,slc14a1
CL:1001285,kidney,tm4sf1
CL:1000452,kidney,aldh1a2
CL:1000452,kidney,cfh
CL:1000452,kidney,crb2
CL:1000452,kidney,vcam1
CL:1001005,kidney,aqp1
CL:1001005,kidney,ehd3
CL:1001005,kidney,emcn
CL:1001005,kidney,flt1
CL:1001005,kidney,hecw2
CL:1001005,kidney,plat
CL:4030009,kidney,prodh2
CL:4030009,kidney,slc22a6
CL:4030009,kidney,slc22a8
CL:4030009,kidney,slc34a1
CL:4030009,kidney,slc5a12
CL:4030009,kidney,slc5a2
CL:4030011,kidney,aqp1
CL:4030011,kidney,mogat1
CL:4030011,kidney,satb2
CL:4030011,kidney,slc17a1
CL:4030011,kidney,slc22a7
CL:4030011,kidney,slc5a11
CL:1001111,kidney,cdh1
CL:1001111,kidney,cryab
CL:1001111,kidney,satb2
CL:1001111,kidney,slc44a5
CL:1001111,kidney,spp1
CL:1001111,kidney,vcam1
CL:1001107,kidney,cdh1
CL:1001107,kidney,clcnka
CL:1001107,kidney,cldn3
CL:1001107,kidney,cryab
CL:1001107,kidney,prox1
CL:1001107,kidney,sh3gl3
CL:1001107,kidney,tacstd2
CL:1001106,kidney,atp1a1
CL:1001106,kidney,casr
CL:1001106,kidney,cdh1
CL:1001106,kidney,slc12a1
CL:1001106,kidney,umod
CL:1000849,kidney,atp1a1
CL:1000849,kidney,calb1
CL:1000849,kidney,cdh1
CL:1000849,kidney,sall3
CL:1000849,kidney,slc12a3
CL:1000849,kidney,trpm6
CL:1000768,kidney,calb1
CL:1000768,kidney,cdh1
CL:1000768,kidney,gata3
CL:1000768,kidney,hsd11b2
CL:1000768,kidney,scn2a
CL:1000768,kidney,scnn1g
CL:1000768,kidney,slc8a1
CL:1000768,kidney,trpv5
CL:4030018,kidney,aqp2
CL:4030018,kidney,aqp3
CL:4030018,kidney,fxyd4
CL:4030018,kidney,scnn1g
CL:1001431,kidney,aqp2
CL:1001431,kidney,aqp3
CL:1001431,kidney,fxyd4
CL:1001431,kidney,gata3
CL:1001431,kidney,scnn1g
CL:1001131,kidney,dnase1l3
CL:1001131,kidney,gpm6a
CL:1001131,kidney,nr2f2
CL:1001131,kidney,plvap
CL:0002138,lymph node,ackr4
CL:0002138,lymph node,cav1
CL:0002138,lymph node,cd209
CL:0002138,lymph node,clec4g
CL:0002138,lymph node,clec4m
CL:0002138,lymph node,lyve1
CL:0002138,lymph node,marco
CL:0002138,lymph node,nt5e
CL:0002138,lymph node,nudt4
CL:1001318,kidney,acta2
CL:1001318,kidney,adcy3
CL:1001318,kidney,ccdc102b
CL:1001318,kidney,mcam
CL:1001318,kidney,myh11
CL:1001318,kidney,ntrk3
CL:1001318,kidney,tagln
CL:1000692,kidney,c7
CL:1000692,kidney,col1a1
CL:1000692,kidney,col1a2
CL:1000692,kidney,dcn
CL:1000692,kidney,lum
CL:1000692,kidney,zeb2
CL:0000875,kidney,fcgr3a
CL:0000875,kidney,hladra
CL:0000875,kidney,itgal
CL:0000875,kidney,lilrb2
CL:1000597,kidney,gpx2
CL:1000597,kidney,krt5
CL:1000597,kidney,tacstd2
CL:1000597,kidney,tp63
CL:0009016,large intestine,cd44
CL:0009016,large intestine,lgr5
CL:0009016,large intestine,lrig1
CL:0009016,large intestine,rgmb
CL:0009016,large intestine,smoc2
CL:0009016,large intestine,sox9
CL:0019032,large intestine,dclk1
CL:0019032,large intestine,pou2f3
CL:0019032,large intestine,ptgs1
CL:0019032,large intestine,trpm5
CL:0017000,respiratory system,ascl3
CL:0017000,respiratory system,bsnd
CL:0017000,respiratory system,cdh1
CL:0017000,respiratory system,clcnkb
CL:0017000,respiratory system,elf3
CL:0017000,respiratory system,epcam
CL:0017000,respiratory system,foxi1
CL:0017000,respiratory system,fxyd3
CL:0017000,respiratory system,tspan1
CL:0000158,lung,cdh1
CL:0000158,lung,cyp2f1
CL:0000158,lung,elf3
CL:0000158,lung,epcam
CL:0000158,lung,fxyd3
CL:0000158,lung,scgb1a1
CL:0000158,lung,scgb3a2
CL:0000158,lung,tspan1
CL:0000158,respiratory system,cdh1
CL:0000158,respiratory system,cyp2f1
CL:0000158,respiratory system,elf3
CL:0000158,respiratory system,epcam
CL:0000158,respiratory system,fxyd3
CL:0000158,respiratory system,scgb1a1
CL:0000158,respiratory system,scgb3a2
CL:0000158,respiratory system,tspan1
CL:1000223,respiratory system,ascl1
CL:1000223,respiratory system,calca
CL:1000223,respiratory system,cdh1
CL:1000223,respiratory system,chga
CL:1000223,respiratory system,elf3
CL:1000223,respiratory system,epcam
CL:1000223,respiratory system,fxyd3
CL:1000223,respiratory system,grp
CL:0019003,respiratory system,agr2
CL:0019003,respiratory system,cdh1
CL:0019003,respiratory system,elf3
CL:0019003,respiratory system,epcam
CL:0019003,respiratory system,fxyd3
CL:0019003,respiratory system,muc5ac
CL:0019003,respiratory system,muc5b
CL:0019003,respiratory system,spdef
CL:0019003,respiratory system,tff2
CL:0019003,respiratory system,tspan1
CL:0019019,respiratory system,acta2
CL:0019019,respiratory system,cnn1
CL:0019019,respiratory system,col1a2
CL:0019019,respiratory system,dcn
CL:0019019,respiratory system,des
CL:0019019,respiratory system,fam83d
CL:0019019,respiratory system,lgr6
CL:0019019,respiratory system,mfap4
CL:0019019,respiratory system,myh11
CL:0019019,respiratory system,pln
CL:1000271,lung,cdh1
CL:1000271,lung,dynlrb2
CL:1000271,lung,elf3
CL:1000271,lung,epcam
CL:1000271,lung,foxj1
CL:1000271,lung,fxyd3
CL:1000271,lung,rsph1
CL:1000271,lung,tspan1
CL:1000271,lung,tubb4b
CL:1000271,respiratory system,cdh1
CL:1000271,respiratory system,dynlrb2
CL:1000271,respiratory system,elf3
CL:1000271,respiratory system,epcam
CL:1000271,respiratory system,foxj1
CL:1000271,respiratory system,fxyd3
CL:1000271,respiratory system,rsph1
CL:1000271,respiratory system,tspan1
CL:1000271,respiratory system,tubb4b
CL:0002063,lung,abca3
CL:0002063,lung,bmp1
CL:0002063,lung,cdh1
CL:0002063,lung,elf3
CL:0002063,lung,epcam
CL:0002063,lung,fxyd3
CL:0002063,lung,hopx
CL:0002063,lung,lamp3
CL:0002063,lung,mfsd2a
CL:0002063,lung,sfta2
CL:0002063,lung,sftpa2
CL:0002063,lung,slc39a8
CL:0002062,lung,ager
CL:0002062,lung,aqp4
CL:0002062,lung,cdh1
CL:0002062,lung,clic5
CL:0002062,lung,elf3
CL:0002062,lung,epcam
CL:0002062,lung,fxyd3
CL:0002062,lung,gramd2a
CL:0002062,lung,hopx
CL:0002062,lung,rtkn2
CL:0002062,lung,scel
CL:0002062,lung,sfta2
CL:0002062,lung,slc39a8
CL:0009089,lung,col1a2
CL:0009089,lung,cox4i2
CL:0009089,lung,dcn
CL:0009089,lung,higd1b
CL:0009089,lung,lamc3
CL:0009089,lung,pdgfrb
CL:0009089,lung,trpc6
CL:4028006,lung,col1a2
CL:4028006,lung,col6a3
CL:4028006,lung,dclk1
CL:4028006,lung,dcn
CL:4028006,lung,fbln1
CL:4028006,lung,lum
CL:4028006,lung,mfap4
CL:4028006,lung,mfap5
CL:4028006,lung,scara5
CL:4028004,lung,col1a2
CL:4028004,lung,col6a3
CL:4028004,lung,dcn
CL:4028004,lung,fbln1
CL:4028004,lung,fgfr4
CL:4028004,lung,lum
CL:4028004,lung,mfap4
CL:4028004,lung,tcf21
CL:4028004,lung,wnt2
CL:0000784,immune system,cd53
CL:0000784,immune system,clec4c
CL:0000784,immune system,clec7a
CL:0000784,immune system,coro1a
CL:0000784,immune system,cxcr3
CL:0000784,immune system,fcer1g
CL:0000784,immune system,hladrb1
CL:0000784,immune system,il3ra
CL:0000784,immune system,nrp1
CL:0000784,immune system,ptprc
CL:0000186,small intestine,actg2
CL:0000186,small intestine,cnn1
CL:0000186,small intestine,des
CL:0000186,small intestine,tp53i3
CL:0000442,lymph node,cr2
CL:0000442,lymph node,cxcl13
CL:0000442,lymph node,madcam1
CL:0000442,lymph node,mfge8
CL:0000442,lymph node,vcam1
CL:0000980,lymph node,cd38
CL:0000980,lymph node,irf4
CL:0000980,lymph node,prdm1
CL:0000980,lymph node,sdc1
CL:0000899,lymph node,ccr6
CL:0000899,lymph node,cd3d
CL:0000899,lymph node,id2
CL:0000899,lymph node,il7r
CL:0000798,lymph node,cd3d
CL:0000798,lymph node,id2
CL:0000798,lymph node,klrd1
CL:0000798,lymph node,trdc
CL:0008024,pancreas,arx
CL:0008024,pancreas,hhex
CL:0008024,pancreas,irx2
CL:0008024,pancreas,mafa
CL:0008024,pancreas,nkx61
CL:0008024,pancreas,pdx1
CL:0008036,placenta,cdh5
CL:0008036,placenta,krt7
CL:0008036,placenta,mcam
CL:0008036,placenta,plac8
CL:0000525,placenta,cgb3
CL:0000525,placenta,csh1
CL:0000525,placenta,egfr
CL:0000525,placenta,krt7
CL:0000525,placenta,psg4
CL:0000584,small intestine,best4
CL:0000584,small intestine,ca7
CL:0000584,small intestine,hes1
CL:0000584,small intestine,neurl1
CL:0000034,small intestine,ascl2
CL:0000034,small intestine,lgr5
CL:0000034,small intestine,olfm4
CL:0000034,small intestine,rnf43
